,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
make,365,319,501,1274,516,245
aware,59,39,84,144,173,80
allowing,19,7,15,34,14,26
notification,60,19,69,113,107,80
mine,41,19,69,51,341,392
appear,22,10,23,40,63,68
remove,71,63,177,173,332,804
device,13,4,2,3,9,2
profile,14,1,19,4,42,74
put,209,131,227,486,298,210
ticket,13,6,65,12,29,20
try,64,39,80,180,141,75
solve,16,1,4,14,5,11
sometime,14,4,9,11,13,7
next,154,98,204,334,120,78
week,273,193,257,736,297,139
someone,199,85,218,390,346,184
access,243,34,132,120,81,143
balance,463,310,1259,612,644,489
even,386,259,500,1004,748,485
place,136,67,98,231,263,154
also,517,314,559,1353,1038,832
tell,164,75,189,339,286,120
two,179,107,174,417,183,120
lock,5,5,2,118,5,21
opened,362,34,243,57,186,199
checking,782,53,136,133,90,77
saving,291,15,32,78,26,14
stuck,8,16,17,19,8,3
moment,14,5,10,16,21,2
way,208,92,227,417,234,178
payroll,20,4,1,4,14,1
reporting,68,210,253,350,869,1794
period,81,48,144,313,97,106
temporarily,9,2,4,8,3,8
refunded,69,15,68,69,14,7
investigation,167,29,143,103,104,478
currently,34,45,40,230,114,85
others,29,15,43,83,48,36
military,21,13,6,35,18,12
similar,23,13,33,45,51,27
situation,146,113,140,354,160,83
n,960,567,1145,2165,1651,928
personally,18,6,13,28,39,30
know,293,194,306,691,691,363
adult,3,1,3,2,9,6
son,82,21,19,83,117,32
longer,99,60,88,241,152,145
life,44,45,54,170,83,114
hit,39,21,48,47,29,25
want,264,158,319,717,470,326
answer,108,59,131,373,209,85
give,226,120,172,444,376,148
told,1271,645,1273,2362,1756,593
thursday,29,8,2,21,15,3
stop,127,91,99,232,562,51
stressing,3,1,0,1,0,1
good,107,73,204,334,133,147
weekend,22,4,16,17,21,5
reported,107,118,189,280,466,733
police,164,17,52,15,171,167
alert,63,10,59,25,53,189
credit,920,1210,4594,1814,4378,7143
report,319,450,619,604,2263,4783
anything,151,93,189,341,424,184
since,449,278,571,1440,651,465
right,159,108,183,513,502,365
sure,87,52,119,215,176,97
trust,76,6,10,261,63,15
floating,2,0,0,0,0,0
around,118,65,126,305,127,79
unknown,17,12,16,38,57,41
speaking,36,22,47,80,71,15
work,168,195,174,677,647,116
computer,43,15,78,53,30,39
large,35,14,48,57,22,13
corporation,26,24,13,61,47,7
feel,132,103,162,348,159,93
data,35,8,32,38,71,100
breech,2,1,0,4,7,0
write,41,21,31,58,29,27
involved,27,19,28,92,47,25
many,159,71,179,366,230,188
authority,12,10,23,78,44,27
seems,68,29,73,166,65,61
huge,21,6,17,44,13,13
problem,265,106,216,435,146,194
one,534,312,883,1063,615,355
last,213,152,286,641,498,317
people,137,89,144,333,270,129
compromised,22,0,32,5,12,15
deprived,2,0,2,3,1,0
income,68,56,62,616,101,38
continues,23,26,49,107,138,107
disappearing,2,0,1,0,0,0
direct,181,18,43,70,74,31
payment,608,1977,2367,6985,1723,838
addition,43,32,55,149,101,58
incapacity,1,0,0,0,0,0
secure,51,9,44,66,17,17
massively,1,0,0,0,1,0
mature,2,2,0,6,0,0
trivialize,1,0,0,0,0,0
failure,29,9,44,76,39,42
sending,40,30,65,241,171,99
email,264,124,381,712,333,173
got,217,193,284,569,370,157
back,698,418,781,1442,991,562
protection,124,43,107,129,103,59
damaged,9,12,33,34,20,7
organization,16,6,14,37,31,11
full,106,188,350,461,498,288
arrogance,1,0,1,1,1,0
belief,8,4,8,19,17,9
fourth,4,3,5,19,6,6
file,200,90,179,634,524,1091
complaint,340,150,362,957,527,516
nothing,202,112,216,437,274,210
happens,20,4,11,24,13,14
inch,1,1,0,3,0,0
would,1369,814,1709,3332,1837,914
lost,132,38,82,275,68,46
license,23,9,23,26,81,80
come,119,63,83,231,154,85
american,29,58,397,73,36,22
supposed,76,28,65,163,96,77
receive,287,91,318,524,342,152
whe,1,0,0,0,1,0
federal,136,44,72,270,243,215
government,26,10,23,123,41,45
act,69,44,113,229,424,308
protector,1,0,0,0,0,0
citizen,86,31,50,92,15,6
living,25,7,16,89,54,33
rather,22,23,46,91,42,36
arrogant,1,1,2,5,1,1
destroying,2,0,3,7,4,6
case,250,68,270,547,380,337
id,124,16,62,58,133,130
ebay,24,3,8,0,0,0
paypal,141,69,120,0,28,0
excellent,12,19,45,32,21,13
standing,30,17,67,70,45,37
early,42,47,47,111,68,37
received,656,420,1068,2367,1823,758
following,91,37,100,227,139,226
hello,19,9,21,26,36,32
recently,97,58,133,237,163,157
reviewed,31,11,53,140,35,39
activity,127,13,69,77,101,78
determined,13,6,19,48,17,22
acceptable,12,8,13,33,12,6
use,241,64,340,209,184,103
policy,146,35,95,278,66,56
